r,00753,52,1AA
r,02033,88,2AA
g,01545,60,1AA
g,01573,70,2EC
g,01546,10,3RR
g,01550,7,3RR
g,01554,17,4SS
m,01806,19,19500,2500,1AA,12508874
m,01806,18,18100,2200,1AA,12508875
m,01806,17,18200,2700,1AB,12508876
m,01919,19,17000,3100,1TT,18014070
rc,018060,5,4000,720,1AA,RC1250
rc,018370,3,2500,500,6AA,RC2000
rc,018370,3,2500,500,6AA,RC2001
rc,018370,3,2500,500,6AA,RC2002
rc,018370,3,2500,500,6AA,RC2003
rc,018370,3,2500,500,6AA,RC2004
rc,019020,5,1700,980,7TT,RC7001
rc,019020,5,1700,980,7TT,RC7002
rc,019020,5,1700,980,7TT,RC7003
rc,019020,5,1700,980,7TZ,RC7004
rc,019020,5,1700,980,7TA,RC7005
rc,019690,7.8,3000,7400,88U,RC8901
rc,019850,7.8,3000,7400,88U,RC8901
rc,019260,6,7500,3600,1AA,RC0023
